epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.3172,0.71956,2.4714,0.96624,1,0.53202,0.85649,0.70899,0.79236,3.08837,0.90309,0.0003,0.0003,0.0003
2,110.089,0.84066,1.56025,0.98019,0.97916,0.6525,0.7714,0.62216,0.86824,3.10123,0.98987,0.000607724,0.000607724,0.000607724
3,163.534,0.87414,1.54324,1.04641,0.89236,0.51389,0.69362,0.50507,0.98933,3.27213,1.035,0.000902776,0.000902776,0.000902776
4,218.91,0.84293,1.41011,1.01039,0.67181,0.26389,0.33235,0.21274,1.04797,3.25699,1.12893,0.00118516,0.00118516,0.00118516
5,274.172,0.89252,1.4231,1.06301,0.74543,0.27778,0.36094,0.22997,1.06533,3.84067,1.1995,0.00145486,0.00145486,0.00145486
6,328.646,0.89152,1.32158,1.06639,0.32648,0.25,0.25218,0.17884,1.1947,3.78363,1.28784,0.0017119,0.0017119,0.0017119
7,382.01,0.85054,1.26001,1.04116,0.23965,0.33333,0.2848,0.22367,1.00989,3.00381,1.14073,0.0017624,0.0017624,0.0017624
8,434.947,0.90989,1.17433,1.05188,0.89006,0.75,0.84445,0.6168,1.00369,1.82259,1.09931,0.0017228,0.0017228,0.0017228
9,488.195,0.89914,1.11545,1.07929,0.83037,0.81588,0.85006,0.64627,0.93852,1.62187,1.05347,0.0016832,0.0016832,0.0016832
10,549.574,0.90338,1.08347,1.05215,0.95504,0.88508,0.93758,0.72443,0.92945,1.39648,1.03462,0.0016436,0.0016436,0.0016436
11,606.506,0.83874,0.96874,1.02414,0.91064,0.84925,0.9273,0.74375,0.77419,1.16215,0.97153,0.001604,0.001604,0.001604
12,666.203,0.84269,0.87761,1.00951,0.9409,0.93056,0.95301,0.76426,0.79964,0.98081,0.99836,0.0015644,0.0015644,0.0015644
13,723.072,0.88586,0.99843,1.0653,0.834,0.62804,0.75564,0.56031,0.90559,1.43939,1.04189,0.0015248,0.0015248,0.0015248
14,785.697,0.83454,0.88799,1.03771,0.88372,0.84445,0.91917,0.70547,0.83585,1.11604,1.02462,0.0014852,0.0014852,0.0014852
15,848.483,0.83376,0.81905,1.00838,0.97297,0.88889,0.96709,0.76813,0.82317,0.86867,0.96942,0.0014456,0.0014456,0.0014456
16,908.822,0.84616,0.79603,1.00645,0.99589,0.93056,0.97157,0.7817,0.75094,0.75862,0.95432,0.001406,0.001406,0.001406
17,963.935,0.78663,0.74667,1.00037,0.97162,0.95833,0.97119,0.79893,0.75878,0.71492,0.96009,0.0013664,0.0013664,0.0013664
18,1020.7,0.75932,0.67591,0.99036,0.9968,0.94444,0.97174,0.78208,0.81611,0.7436,0.96116,0.0013268,0.0013268,0.0013268
19,1074.71,0.78555,0.71224,0.99162,0.97086,0.92547,0.96608,0.78195,0.81161,0.76064,0.9947,0.0012872,0.0012872,0.0012872
20,1128.16,0.7415,0.65046,0.98895,0.97095,0.92856,0.9681,0.78521,0.76632,0.75645,0.9658,0.0012476,0.0012476,0.0012476
21,1186.62,0.75742,0.66819,0.99399,0.97011,0.90278,0.97117,0.807,0.74986,0.7268,0.94636,0.001208,0.001208,0.001208
22,1245.47,0.75309,0.6454,1.00897,0.99514,0.95833,0.97871,0.8246,0.74132,0.639,0.94502,0.0011684,0.0011684,0.0011684
23,1298.74,0.69877,0.60101,0.9888,0.95847,0.94444,0.97275,0.81349,0.76229,0.62775,0.95954,0.0011288,0.0011288,0.0011288
24,1352.98,0.69048,0.57502,0.97063,0.92746,0.8879,0.9387,0.79992,0.69655,0.71123,0.94811,0.0010892,0.0010892,0.0010892
25,1408.91,0.72696,0.60363,0.97144,1,0.91422,0.9562,0.78498,0.74632,0.72895,0.96519,0.0010496,0.0010496,0.0010496
26,1462.85,0.69487,0.58117,0.96679,0.96001,0.95833,0.97761,0.80485,0.76603,0.68744,0.95687,0.00101,0.00101,0.00101
27,1518.75,0.67856,0.56377,0.95802,0.97124,0.93798,0.97359,0.82195,0.72404,0.62048,0.93791,0.0009704,0.0009704,0.0009704
28,1575.68,0.68635,0.56631,0.97239,1,0.91245,0.96851,0.81381,0.69561,0.62931,0.93987,0.0009308,0.0009308,0.0009308
29,1633.41,0.67343,0.5579,0.95455,1,0.9117,0.96837,0.80182,0.78662,0.65261,0.97611,0.0008912,0.0008912,0.0008912
30,1691.16,0.67009,0.51977,0.95394,0.97218,0.97057,0.98146,0.85526,0.67257,0.55357,0.9414,0.0008516,0.0008516,0.0008516
31,1749.1,0.72218,0.56086,0.97861,0.98522,0.92616,0.98028,0.83244,0.73767,0.57387,0.97344,0.000812,0.000812,0.000812
32,1802.44,0.71399,0.55289,0.98664,1,0.94365,0.98605,0.83672,0.71628,0.58092,0.96209,0.0007724,0.0007724,0.0007724
33,1856.39,0.66112,0.50571,0.96017,1,0.96735,0.97876,0.83473,0.71044,0.53723,0.95618,0.0007328,0.0007328,0.0007328
34,1909.14,0.63689,0.51938,0.94303,0.99943,0.97222,0.98328,0.82111,0.73504,0.51017,0.97258,0.0006932,0.0006932,0.0006932
35,1965.19,0.67113,0.5076,0.95835,0.99844,0.97222,0.98339,0.84174,0.70908,0.47824,0.95467,0.0006536,0.0006536,0.0006536
36,2018.11,0.63215,0.48776,0.95659,0.99514,0.97222,0.98437,0.82862,0.75224,0.46897,0.9699,0.000614,0.000614,0.000614
37,2071.4,0.65891,0.49053,0.95093,0.99535,0.95833,0.98269,0.84093,0.7049,0.46465,0.9515,0.0005744,0.0005744,0.0005744
38,2125.1,0.63848,0.47952,0.94587,1,0.94319,0.98605,0.83805,0.6774,0.49802,0.94963,0.0005348,0.0005348,0.0005348
39,2178.3,0.62693,0.45089,0.93607,1,0.94242,0.98392,0.83635,0.69325,0.51193,0.94979,0.0004952,0.0004952,0.0004952
40,2231.61,0.60114,0.44231,0.91218,0.97212,0.96846,0.98801,0.83245,0.73214,0.47168,0.96183,0.0004556,0.0004556,0.0004556
41,2285.79,0.55642,0.42497,0.8762,0.99696,0.95833,0.98928,0.84247,0.71581,0.46227,0.95193,0.000416,0.000416,0.000416
42,2339,0.52687,0.41339,0.8555,0.99257,0.95833,0.97774,0.84192,0.69149,0.46348,0.94619,0.0003764,0.0003764,0.0003764
43,2392.12,0.53291,0.43677,0.89192,0.99555,0.95833,0.98558,0.83782,0.73251,0.48448,0.95956,0.0003368,0.0003368,0.0003368
44,2445.12,0.54929,0.40527,0.88561,0.99449,0.95833,0.98777,0.8368,0.71116,0.47649,0.94013,0.0002972,0.0002972,0.0002972
45,2497.89,0.54602,0.40525,0.87626,0.98588,0.96986,0.98849,0.85086,0.66827,0.44373,0.92645,0.0002576,0.0002576,0.0002576
46,2551.13,0.52621,0.39827,0.88349,0.98279,0.97222,0.98875,0.84735,0.68408,0.45038,0.93532,0.000218,0.000218,0.000218
47,2607.54,0.53608,0.40219,0.8736,0.98586,0.9683,0.98993,0.84871,0.69149,0.44669,0.93456,0.0001784,0.0001784,0.0001784
48,2660.4,0.53027,0.38277,0.85477,0.98584,0.96688,0.99061,0.8389,0.68449,0.44099,0.93281,0.0001388,0.0001388,0.0001388
49,2713.04,0.49979,0.37077,0.84608,0.98572,0.95885,0.98896,0.84104,0.68747,0.4388,0.93656,9.92e-05,9.92e-05,9.92e-05
50,2766.87,0.49988,0.36026,0.85942,0.98775,0.95833,0.98803,0.84455,0.68953,0.43789,0.93808,5.96e-05,5.96e-05,5.96e-05
